Key: 006ONDhLV6, Value: value8334, Extra: extra8334, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 25m51s, FileName: data.txt, Offset: 833400, Size: 100
Key: 00P3p8moSK, Value: value115, Extra: extra115, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 4m56s, FileName: data.txt, Offset: 11500, Size: 100
Key: 016JPQW3Cp, Value: value9595, Extra: extra9595, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 25m2s, FileName: data.txt, Offset: 959500, Size: 100
Key: 0264N94Q57, Value: value4645, Extra: extra4645, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 31m12s, FileName: data.txt, Offset: 464500, Size: 100
Key: 02FHBoZsj2, Value: value5406, Extra: extra5406, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 27m19s, FileName: data.txt, Offset: 540600, Size: 100
Key: 02eP9LoIck, Value: value4664, Extra: extra4664, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 21m31s, FileName: data.txt, Offset: 466400, Size: 100
Key: 03ysbQ5oi0, Value: value7914, Extra: extra7914, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 53m40s, FileName: data.txt, Offset: 791400, Size: 100
Key: 03ztGdTfG7, Value: value1552, Extra: extra1552, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 19m40s, FileName: data.txt, Offset: 155200, Size: 100
Key: 04GaBUnccm, Value: value1059, Extra: extra1059, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 51m0s, FileName: data.txt, Offset: 105900, Size: 100
Key: 04aoMLiQFk, Value: value2634, Extra: extra2634, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 52m42s, FileName: data.txt, Offset: 263400, Size: 100
Key: 04csRspB3z, Value: value124, Extra: extra124, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 20m33s, FileName: data.txt, Offset: 12400, Size: 100
Key: 04dVDHH2vn, Value: value8400, Extra: extra8400, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 29m12s, FileName: data.txt, Offset: 840000, Size: 100
Key: 05PpPtOMfI, Value: value438, Extra: extra438, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 45m43s, FileName: data.txt, Offset: 43800, Size: 100
Key: 05kpavPAAI, Value: value2911, Extra: extra2911, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 47m31s, FileName: data.txt, Offset: 291100, Size: 100
Key: 0693GGohDM, Value: value118, Extra: extra118, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 3m39s, FileName: data.txt, Offset: 11800, Size: 100
Key: 06FCg2i5FQ, Value: value2321, Extra: extra2321, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 46m0s, FileName: data.txt, Offset: 232100, Size: 100
Key: 06sArYL1oH, Value: value6887, Extra: extra6887, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 39m49s, FileName: data.txt, Offset: 688700, Size: 100
Key: 074HnYPZKh, Value: value6337, Extra: extra6337, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 30m42s, FileName: data.txt, Offset: 633700, Size: 100
Key: 075DrZpPdo, Value: value7910, Extra: extra7910, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 40m11s, FileName: data.txt, Offset: 791000, Size: 100
Key: 08dVnflXIw, Value: value4799, Extra: extra4799, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 38m2s, FileName: data.txt, Offset: 479900, Size: 100
Key: 08pMmpFa6L, Value: value8615, Extra: extra8615, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 47m45s, FileName: data.txt, Offset: 861500, Size: 100
Key: 09W4Ell4ms, Value: value4352, Extra: extra4352, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 40m55s, FileName: data.txt, Offset: 435200, Size: 100
Key: 09xgA0JLZO, Value: value482, Extra: extra482, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 16m13s, FileName: data.txt, Offset: 48200, Size: 100
Key: 0A9xWeGkT4, Value: value4336, Extra: extra4336, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 41m25s, FileName: data.txt, Offset: 433600, Size: 100
Key: 0ACMybZKAs, Value: value1084, Extra: extra1084, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 34m29s, FileName: data.txt, Offset: 108400, Size: 100
Key: 0Absz2PKRB, Value: value2476, Extra: extra2476, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 36m15s, FileName: data.txt, Offset: 247600, Size: 100
